2023-04-25 14:22:01 | 54.188.208.209 -> 172.20.10.46 | Protocol: 6
2023-04-25 14:22:01 | 54.188.208.209 -> 172.20.10.46 | Protocol: 6
2023-04-25 14:22:01 | 172.20.10.46 -> 54.188.208.209 | Protocol: 6
2023-04-25 14:22:01 | 172.20.10.46 -> 54.188.208.209 | Protocol: 6
2023-04-25 14:22:01 | 172.20.10.46 -> 54.188.208.209 | Protocol: 6
2023-04-25 14:22:01 | 172.20.10.46 -> 54.188.208.209 | Protocol: 6
2023-04-25 14:22:01 | 54.188.208.209 -> 172.20.10.46 | Protocol: 6
2023-04-25 14:22:01 | 54.188.208.209 -> 172.20.10.46 | Protocol: 6
2023-04-25 14:22:01 | 54.188.208.209 -> 172.20.10.46 | Protocol: 6
2023-04-25 14:22:01 | 172.20.10.46 -> 54.188.208.209 | Protocol: 6
2023-04-25 14:22:36 | 172.20.10.46 -> 4.2.2.1 | Protocol: 17
2023-04-25 14:22:36 | 172.20.10.46 -> 10.9.0.1 | Protocol: 6
2023-04-25 14:22:36 | 12.55.54.125 -> 172.20.10.46 | Protocol: 1
2023-04-25 14:22:36 | 172.20.10.46 -> 10.8.0.1 | Protocol: 17
2023-04-25 14:22:36 | 4.2.2.1 -> 172.20.10.46 | Protocol: 17
2023-04-25 14:22:36 | 172.20.10.46 -> 142.250.217.238 | Protocol: 17
2023-04-25 14:22:36 | 172.20.10.46 -> 142.250.217.238 | Protocol: 17
2023-04-25 14:22:36 | 142.250.217.238 -> 172.20.10.46 | Protocol: 17
2023-04-25 14:22:36 | 142.250.217.238 -> 172.20.10.46 | Protocol: 17
2023-04-25 14:22:36 | 142.250.217.238 -> 172.20.10.46 | Protocol: 17
2023-04-25 14:22:36 | 142.250.217.238 -> 172.20.10.46 | Protocol: 17
2023-04-25 14:22:36 | 172.20.10.46 -> 142.250.217.238 | Protocol: 17
2023-04-25 14:22:36 | 172.20.10.46 -> 142.250.217.238 | Protocol: 17
2023-04-25 14:22:36 | 172.20.10.46 -> 142.250.217.238 | Protocol: 17
2023-04-25 14:22:36 | 172.20.10.46 -> 142.250.217.238 | Protocol: 17
2023-04-25 14:22:36 | 142.250.217.238 -> 172.20.10.46 | Protocol: 17
2023-04-25 14:22:36 | 142.250.217.238 -> 172.20.10.46 | Protocol: 17
2023-04-25 14:22:36 | 142.250.217.238 -> 172.20.10.46 | Protocol: 17
2023-04-25 14:22:36 | 172.20.10.46 -> 142.250.217.238 | Protocol: 17
2023-04-25 14:22:36 | 142.250.217.238 -> 172.20.10.46 | Protocol: 17
2023-04-25 14:22:36 | 172.20.10.46 -> 142.250.217.238 | Protocol: 17
2023-04-25 14:22:36 | 142.250.217.238 -> 172.20.10.46 | Protocol: 17
2023-04-25 14:22:36 | 172.20.10.46 -> 142.250.217.238 | Protocol: 17
2023-04-25 14:22:36 | 142.250.217.238 -> 172.20.10.46 | Protocol: 17
2023-04-25 14:22:41 | 52.159.127.243 -> 172.20.10.46 | Protocol: 6
2023-04-25 14:22:41 | 172.20.10.46 -> 52.159.127.243 | Protocol: 6
2023-04-25 14:22:42 | 52.159.127.243 -> 172.20.10.46 | Protocol: 6
2023-04-25 14:22:42 | 172.20.10.46 -> 34.120.4.185 | Protocol: 17
2023-04-25 14:22:42 | 172.20.10.46 -> 34.120.4.185 | Protocol: 17
2023-04-25 14:22:42 | 34.120.4.185 -> 172.20.10.46 | Protocol: 17
2023-04-25 14:22:42 | 172.20.10.46 -> 10.8.0.1 | Protocol: 17
2023-04-25 14:22:42 | 172.20.10.46 -> 52.159.127.243 | Protocol: 6
2023-04-25 14:22:42 | 12.55.54.125 -> 172.20.10.46 | Protocol: 1
2023-04-25 14:22:43 | 52.159.127.243 -> 172.20.10.46 | Protocol: 6
2023-04-25 14:22:43 | 172.20.10.46 -> 52.159.127.243 | Protocol: 6
2023-04-25 14:22:43 | 172.20.10.46 -> 52.159.127.243 | Protocol: 6
2023-04-25 14:22:43 | 52.159.127.243 -> 172.20.10.46 | Protocol: 6
